"ID","과목","개념","정확주어","흔한상위어","닫는명사","핵심요소","짝개념","한자(뜻)","주자극오류"
"sci_49","과학","원핵생물","생물(핵막 없음)","생물 · 세포","생물","핵막이 없음 · 유전물질 흩어져 있음 · 대부분 단세포 · 예: 세균","진핵생물","原(근원) · 核(씨)","⑤혼동 · ④핵심"
"sci_50","과학","진핵생물","생물(핵막 있음)","생물 · 세포","생물","핵막으로 싸인 핵 · 세포 소기관 발달 · 단세포·다세포 · 예: 동식물·균류","원핵생물","眞(참) · 核(씨)","⑤혼동 · ④핵심"
"sci_12","과학","중력","힘(지구가 당김)","힘 · 무게 · 에너지","힘","지구가 물체를 당김 · 방향은 지구 중심 · 무게의 원인 · 질량 클수록 큼","부력 · 무게","重(무거울) · 力(힘)","⑤혼동 · ④핵심"
"sci_13","과학","탄성력","힘(변형된 물체가)","힘 · 고무 · 성질","힘","변형된 물체가 · 원래로 돌아가려는 힘 · 변형 반대 방향 · 예: 용수철","마찰력","彈(튈) · 性(성질) · 力(힘)","①범주 · ④핵심"
"sci_14","과학","마찰력","힘(접촉면에서)","힘 · 저항","힘","두 물체 접촉면 · 운동 반대 방향 · 미끄러짐 방해 · 거칠수록 큼","탄성력","摩(갈) · 擦(비빌) · 力(힘)","④핵심 · ①범주"
"sci_15","과학","부력","힘(액체·기체가)","힘 · 물","힘","물·기체가 물체를 · 위로 밀어 올림 · 잠긴 부피 클수록 큼 · 뜨고 가라앉음","중력","浮(뜰) · 力(힘)","⑤혼동 · ④핵심"
"sci_16","과학","질량","양(물질 고유의)","무게 · 양 · 크기","양","물질의 고유한 양 · 장소 바뀌어도 일정 · 단위 g·kg · 윗접시저울","무게","質(바탕) · 量(양)","⑤혼동 · ④핵심"
"sci_17","과학","무게","힘(중력의 크기)","질량 · 무게 · 힘","힘(크기)","물체에 작용하는 중력 크기 · 장소 따라 변함 · 단위 N · 용수철저울","질량","","⑤혼동 · ①범주"
"sci_46","과학","등속 운동","운동(빠르기 일정)","운동 · 속도","운동","빠르기 변하지 않음 · 방향 일정 · 이동거리 일정하게 증가","가속 운동","等(같을) · 速(빠를)","⑤혼동 · ④핵심"
"sci_18","과학","고체","상태(물질의)","물질 · 상태","상태","일정한 모양·부피 · 입자 규칙적 배열 · 입자 운동 약함","액체 · 기체","固(굳을) · 體(몸)","①범주 · ④핵심"
"sci_19","과학","액체","상태(물질의)","물질 · 상태 · 물","상태","부피 일정 · 모양 변함 · 입자 배열 느슨 · 흐름","고체 · 기체","液(진) · 體(몸)","①범주 · ⑤혼동"
"sci_20","과학","기체","상태(물질의)","물질 · 상태 · 공기","상태","모양·부피 모두 변함 · 입자 멀리 자유롭게 · 입자 운동 활발","고체 · 액체","氣(기운) · 體(몸)","①범주 · ④핵심"
"sci_21","과학","융해","상태 변화(고체→액체)","변화 · 녹음","변화(현상)","고체→액체 · 열 흡수 · 녹는점에서 · 예: 얼음→물","응고","融(녹을) · 解(풀)","⑤혼동 · ④핵심"
"sci_22","과학","응고","상태 변화(액체→고체)","변화 · 굳음","변화(현상)","액체→고체 · 열 방출 · 어는점에서 · 예: 물→얼음","융해","凝(엉길) · 固(굳을)","⑤혼동 · ④핵심"
"sci_23","과학","기화","상태 변화(액체→기체)","변화 · 증발","변화(현상)","액체→기체 · 열 흡수 · 증발·끓음 포함","액화","氣(기운) · 化(될)","⑤혼동 · ④핵심"
"sci_24","과학","액화","상태 변화(기체→액체)","변화 · 응결","변화(현상)","기체→액체 · 열 방출 · 예: 이슬·김서림","기화","液(진) · 化(될)","⑤혼동 · ④핵심"
"sci_25","과학","승화","상태 변화(고체↔기체)","변화","변화(현상)","고체↔기체 직접 · 액체 안 거침 · 예: 드라이아이스·성에","융해 · 기화","昇(오를) · 華(빛날)","④핵심 · ⑤혼동"
"sci_26","과학","응결","변화(수증기→물)","변화 · 이슬","현상","수증기(기체)가 · 물방울(액체)로 · 냉각으로 · 예: 이슬·구름","증발","凝(엉길) · 結(맺을)","⑤혼동 · ④핵심"
"sci_27","과학","확산","현상(입자가 퍼짐)","운동 · 퍼짐","현상","입자가 스스로 · 사방으로 퍼짐 · 농도 높은 곳→낮은 곳 · 기체·액체에서","증발","擴(넓힐) · 散(흩을)","②용어 · ④핵심"
"sci_28","과학","밀도","물질의 특성(부피당 질량)","질량 · 무게 · 부피","특성","단위 부피당 질량 · 질량÷부피 · 물질마다 고유 · 뜨고 가라앉음 결정","부피","密(빽빽할) · 度(법도)","②용어 · ④핵심"
"sci_29","과학","압력","힘의 효과(단위 넓이당)","힘 · 무게","크기(정도)","단위 넓이를 누르는 힘 · 힘÷넓이 · 넓이 작을수록 큼 · 기체 압력","부피","壓(누를) · 力(힘)","②용어 · ④핵심"
"sci_30","과학","반사","현상(빛이 되튐)","빛 · 반사","현상","빛이 물체에 부딪혀 · 되돌아 나감 · 입사각=반사각 · 예: 거울","굴절","反(돌이킬) · 射(쏠)","⑤혼동 · ④핵심"
"sci_31","과학","굴절","현상(빛이 꺾임)","빛 · 굴절","현상","빛이 다른 물질로 · 경계에서 꺾임 · 속도 변화 때문 · 예: 물속 젓가락","반사","屈(굽을) · 折(꺾을)","⑤혼동 · ③구조"
"sci_32","과학","진동","운동(반복적 흔들림)","운동 · 움직임","운동","일정하게 반복 · 흔들림 · 파동의 원인","파동","振(떨칠) · 動(움직일)","②용어 · ④핵심"
"sci_33","과학","매질","물질(파동을 전달)","물질 · 물 · 공기","물질","파동을 전달 · 스스로 이동 안 함 · 제자리 진동 · 예: 공기·물","파동","媒(중매) · 質(바탕)","①범주 · ④핵심"
"sci_47","과학","볼록 렌즈","렌즈(가운데 두꺼움)","렌즈 · 유리","렌즈","가운데가 두꺼움 · 빛을 모음 · 실상·허상 모두 가능 · 예: 돋보기","오목 렌즈","","⑤혼동 · ④핵심"
"sci_48","과학","오목 렌즈","렌즈(가운데 얇음)","렌즈 · 유리","렌즈","가운데가 얇음 · 빛을 퍼뜨림 · 허상만 생김 · 예: 근시 안경","볼록 렌즈","","⑤혼동 · ④핵심"
"sci_34","과학","전도","열 이동(맞닿아서)","열 · 이동","방법(현상)","고체에서 주로 · 입자 진동 전달 · 물질 이동 없음 · 예: 금속 숟가락","대류 · 복사","傳(전할) · 導(이끌)","⑤혼동 · ④핵심"
"sci_35","과학","대류","열 이동(물질 이동으로)","열 · 이동","방법(현상)","액체·기체에서 · 데워진 물질이 직접 이동 · 순환 · 예: 냄비 물·난방","전도 · 복사","對(대할) · 流(흐를)","⑤혼동 · ④핵심"
"sci_36","과학","복사","열 이동(직접 전달)","열 · 이동 · 빛","방법(현상)","매질 없이 · 직접 전달 · 예: 태양열·난로 앞","전도 · 대류","輻(바퀴살) · 射(쏠)","⑤혼동 · ④핵심"
"sci_37","과학","비열","물질의 특성(데우기 어려움)","열 · 온도","특성","1kg을 1℃ 올리는 열량 · 물질마다 다름 · 클수록 천천히 데워짐 · 물이 큼","열용량","比(견줄) · 熱(더울)","②용어 · ④핵심"
"sci_45","과학","온도","정도(차고 뜨거움)","열 · 날씨","정도","차고 뜨거운 정도 · 입자 운동 활발할수록 높음 · 단위 ℃ · 열과 구별","열","溫(따뜻할) · 度(법도)","⑤혼동 · ②용어"
"sci_38","과학","지각","층(지구 겉)","지구 · 땅 · 층","층","지구의 가장 바깥층 · 암석으로 됨 · 대륙지각·해양지각 · 가장 얇음","맨틀","地(땅) · 殼(껍질)","①범주 · ⑤혼동"
"sci_39","과학","광물","알갱이(암석 구성)","돌 · 암석 · 물질","알갱이(물질)","암석을 이루는 · 자연에서 산출 · 고유한 성질(색·굳기) · 예: 석영·장석","암석","鑛(쇳돌) · 物(물건)","①범주 · ⑤혼동"
"sci_40","과학","암석","덩어리(광물 모임)","돌 · 광물","덩어리","여러 광물이 모임 · 생성 과정별 분류 · 화성암·퇴적암·변성암","광물","巖(바위) · 石(돌)","⑤혼동 · ①범주"
"sci_41","과학","풍화","작용(암석이 부서짐)","변화 · 침식","작용(현상)","암석이 잘게 부서짐 · 물·공기·생물 작용 · 오랜 시간 · 토양의 시작","퇴적 · 침식","風(바람) · 化(될)","⑤혼동 · ④핵심"
"sci_42","과학","퇴적","작용(쌓임)","변화 · 쌓임","작용(현상)","운반된 물질이 · 낮은 곳에 쌓임 · 층 형성 · 퇴적암의 바탕","풍화 · 침식","堆(쌓을) · 積(쌓을)","⑤혼동 · ④핵심"
"sci_43","과학","가설","잠정적 답(탐구 문제에 대한)","생각 · 예상 · 답","답(설명)","문제에 대한 잠정적 답 · 검증 가능 · 실험으로 확인 · 맞을 수도 틀릴 수도","결론","假(거짓) · 說(말씀)","②용어 · ④핵심"
"sci_44","과학","변인","요인(실험에서 변하는)","조건 · 요소","요인","실험에 영향 주는 요인 · 독립·종속·통제변인 · 하나만 바꿈(통제)","상수","變(변할) · 因(인할)","②용어 · ③구조"
